Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,互补产品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),相关产品 (product.metafields.shopify--discovery--product_recommendation.related_products),相关产品设置 (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
iphone-air-back-glass-full-assembly-with-coil-a-grade,iPhone Air Back Glass Full Assembly (With Coil) - A Grade,<p>A Grade back cover glass for iPhone Air full assembly with MagSafe wireless charging coil preinstalled</p>,Apple,,Back Glass,a grade,false,Color,Space Black,,,,,,,,SKU-I17-AIR-A-GRADE-SPACEBLACK-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-space-black-fa.jpg,1,iPhone Air Space Black back glass full assembly with charging coil,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-space-black-fa.jpg,lb,,,true,,,true,,,draft
iphone-air-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Cloud White,,,,,,,,SKU-I17-AIR-A-GRADE-CLOUDWHITE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-cloud-white-fa.jpg,2,iPhone Air Cloud White back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-cloud-white-fa.jpg,lb,,,true,,,true,,,
iphone-air-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Light Gold,,,,,,,,SKU-I17-AIR-A-GRADE-LIGHTGOLD-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-light-gold-fa.jpg,3,iPhone Air Light Gold back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-light-gold-fa.jpg,lb,,,true,,,true,,,
iphone-air-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Sky Blue,,,,,,,,SKU-I17-AIR-A-GRADE-SKYBLUE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-sky-blue-fa.jpg,4,iPhone Air Sky Blue back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-sky-blue-fa.jpg,lb,,,true,,,true,,,
iphone-air-back-glass-full-assembly-with-coil-premium,iPhone Air Back Glass Full Assembly (With Coil) - Premium,<p>Premium back cover glass for iPhone Air full assembly with MagSafe wireless charging coil preinstalled</p>,Apple,,Back Glass,premium,false,Color,Space Black,,,,,,,,SKU-I17-AIR-PREMIUM-SPACEBLACK-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-space-black-fa.jpg,1,iPhone Air Space Black back glass full assembly with charging coil,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-space-black-fa.jpg,lb,,,true,,,true,,,draft
iphone-air-back-glass-full-assembly-with-coil-premium,,,,,,,,,Cloud White,,,,,,,,SKU-I17-AIR-PREMIUM-CLOUDWHITE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-cloud-white-fa.jpg,2,iPhone Air Cloud White back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-cloud-white-fa.jpg,lb,,,true,,,true,,,
iphone-air-back-glass-full-assembly-with-coil-premium,,,,,,,,,Light Gold,,,,,,,,SKU-I17-AIR-PREMIUM-LIGHTGOLD-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-light-gold-fa.jpg,3,iPhone Air Light Gold back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-light-gold-fa.jpg,lb,,,true,,,true,,,
iphone-air-back-glass-full-assembly-with-coil-premium,,,,,,,,,Sky Blue,,,,,,,,SKU-I17-AIR-PREMIUM-SKYBLUE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-sky-blue-fa.jpg,4,iPhone Air Sky Blue back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-air-sky-blue-fa.jpg,lb,,,true,,,true,,,
iphone-17-pro-back-glass-full-assembly-with-coil-a-grade,iPhone 17 Pro Back Glass Full Assembly (With Coil) - A Grade,<p>A Grade back cover glass for iPhone 17 Pro full assembly with MagSafe wireless charging coil preinstalled</p>,Apple,,Back Glass,a grade,false,Color,Silver,,,,,,,,SKU-I17-PRO-A-GRADE-SILVER-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-pro-silver-fa.jpg,1,iPhone 17 Pro Silver back glass full assembly with charging coil,false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-pro-silver-fa.jpg,lb,,,true,,,true,,,draft
iphone-17-pro-back-glass-full-assembly-with-coil-a-grade,,,,,,,,,Cosmic Orange,,,,,,,,SKU-I17-PRO-A-GRADE-COSMICORANGE-FA,0.0,,0,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-pro-cosmic-orange-fa.jpg,2,iPhone 17 Pro Cosmic Orange back glass full assembly with charging coil,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0666/3644/7916/files/iphone-17-pro-cosmic-orange-fa.jpg,lb,,,true,,,true,,,
